row_type,factor,horizon,target,n,rank_ic,benchmark_model,benchmark_source_model,benchmark_rank_ic,benchmark_delta_ic,beta,nw_t_stat,nw_abs_t_stat,nw_p_value,hh_t_stat,hh_p_value,hh_covariance_psd,hh_fallback_to_nw,r2,aligned_target,beats_benchmark,nw_significant,hac_pass,decision_tag,decision_target,decision_reason,front_momentum_beta,front_momentum_nw_t_stat
factor,ns_slope,3m,2s10s,2789,-0.02828049720640658,max_random_walk_momentum,momentum_3m,0.1473445018141901,-0.17562499902059667,-0.006922500310206762,-0.15901758352550868,0.15901758352550868,0.8736550204524253,-0.1345765645818183,0.892946671776022,True,False,0.00034961235860975215,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,3m,5s30s,2789,0.051147606206188065,max_random_walk_momentum,momentum_3m,0.1131401975231021,-0.061992591316914036,0.015787761283405973,0.43392603405070473,0.43392603405070473,0.6643421538636657,0.35882186465540244,0.7197283548224169,True,False,0.0023279757043908056,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,6m,2Y,2726,0.053256342851290085,max_random_walk_momentum,momentum_3m,0.2488739252970503,-0.19561758244576022,0.04790289462810843,0.24773176478619618,0.24773176478619618,0.8043419530419202,0.2124729257961088,0.8317380976620367,True,False,0.0010507654580020898,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,6m,5Y,2726,0.06833100085806391,max_random_walk_momentum,momentum_3m,0.0878780892125175,-0.01954708835445358,0.18438523067790963,0.4084764875670368,0.4084764875670368,0.6829238890772559,0.35050234426942367,0.7259617311289477,True,False,0.0029090030723415428,False,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,6m,10Y,2726,-0.04835716775491689,max_random_walk_momentum,momentum_3m,0.0138729370559449,-0.06223010481086179,-0.06966772581384448,-0.22766838156029348,0.22766838156029348,0.8199040547975532,-0.19690048249733433,0.8439054160925514,True,False,0.0009165985063458448,False,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,6m,30Y,2726,-0.039016870297958466,max_random_walk_momentum,momentum_3m,-0.0308717433876035,-0.008145126910354964,-0.02154048869166342,-0.15463388626329583,0.15463388626329583,0.8771099539293729,-0.13318369038429737,0.894048109120841,True,False,0.0004761984230421401,False,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,6m,2s10s,2726,-0.01504372349871653,max_random_walk_momentum,momentum_3m,0.2869064216087201,-0.3019501451074366,0.01621067791691592,0.2054656777931323,0.2054656777931323,0.8372083111722579,0.17114903760433262,0.864106578231455,True,False,0.0008397957539055811,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,ns_slope,6m,5s30s,2726,0.04604149788767595,max_random_walk_momentum,momentum_3m,0.1570380665735517,-0.11099656868587576,0.03779924150621587,0.44839533492615746,0.44839533492615746,0.653867907981772,0.36182905585979486,0.7174797777829734,True,False,0.0059337998923918445,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,policy_path,3m,2Y,2789,0.20252438348390672,max_random_walk_momentum,momentum_3m,0.2216627906068823,-0.01913840712297557,0.23168055402830418,1.7568109070298072,1.7568109070298072,0.07895004536930338,1.3749684587243924,0.1691412234838923,True,False,0.046033084258665924,True,False,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,3m,5Y,2789,0.06425810077743523,max_random_walk_momentum,momentum_3m,0.0399416300246072,0.02431647075282803,0.11451451250185743,0.8528804950042231,0.8528804950042231,0.3937255792392876,0.7224342424274907,0.47002754048288414,True,False,0.010111199139902327,False,True,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
